plot_uniq_ID,vegetation,plot_ID,clayall,clay20,clay40,clay60,ai,hmod,strc,fdis,hm,wd,sla,ldmc,lcc,lnc,sesmpd,agb,socall,soc20,soc40,soc60,stnall,stn20,stn40,stn60,scnall,scn20,scn40,scn60
101,Forest,K03,1.142597367,1.109660481,1.189605011,1.601206984,-2.068323307,-0.927454705,0.257551966,0.45660096,2.157635307,-1.264649751,1.348208384,-0.920825211,0.504915607,1.832089778,-1.919344837,-0.15739794,1.189677211,1.470004706,0.532621244,-0.019331904,0.997330356,1.304945109,0.514713834,-0.005485961,-0.123975202,-0.4418377,-0.041342117,0.05569054
102,Forest,K04,1.903060688,1.678669059,2.053071228,2.190938816,-2.058917316,-0.934102502,1.721951285,0.739096562,2.825615231,0.572031123,1.508280077,-0.395189836,-0.125099182,1.054340285,-0.154751915,0.889621144,0.339738652,0.319771172,0.525455862,0.114583437,0.227901703,0.307148889,0.334672644,0.181672104,0.163610396,0.056612247,0.293132937,-0.064098833
103,Forest,K05,1.44678768,1.290974521,1.562995808,1.220338508,-1.987431779,-0.903849876,1.578239098,0.764411997,2.457998558,-1.20613969,1.513166974,-0.307453186,0.239364512,2.560449252,-0.713938055,0.798435474,1.565936681,2.396881251,-1.152046002,-0.178876673,1.204959794,1.840706558,-0.95419747,-0.391371535,-0.018245202,-0.407755652,-0.43753344,0.528858563
104,Forest,MK1,-0.771352822,-0.729381928,-0.760972951,0.022445723,-2.173670414,1.130544045,-0.321342065,1.010685364,-0.017717059,-0.531375497,0.38080825,0.048940928,0.443947553,1.896552371,0.284266081,-0.126235976,-0.132781067,0.073852711,-0.948419354,0.604860022,0.326602404,0.557050144,-0.471079542,0.598018842,-0.842939197,-1.157560701,-0.922384804,-0.07607777
105,Forest,MK3,0.758379458,0.807191898,0.69369536,0.483173717,-2.067382708,-0.662328189,0.428439569,0.844205364,0.618955522,0.170210939,0.598487107,0.462353492,-0.698583191,-1.167286565,-0.92644433,0.072328294,0.30409371,0.599742702,0.082968466,-0.294515219,0.131581358,0.317065742,0.158252405,-0.005485961,0.315861595,0.725472433,-0.216430383,-0.405498545
106,Forest,MK4,1.278886327,1.539967996,1.288786942,0.907043472,-1.953570209,-1.24424602,2.327026407,0.562411358,-0.257612517,-0.134849089,-0.339255469,1.04909556,-0.095578082,-0.382415121,0.145223371,0.111942981,-0.933203709,-0.539556048,-0.940407294,-0.671510519,-0.878337248,-0.263378074,-1.180280235,-0.908014304,0.011359197,-0.527042819,0.395130971,0.516879626
107,Forest,MK5,0.864573565,1.209090761,0.787043059,0.507745877,-1.979906985,-1.278996354,-0.307558056,-1.289274252,0.119021116,-0.116377713,-0.451124404,0.928795924,-0.238008929,2.499015351,0.61870874,-0.192203885,-0.114133334,-1.317212061,1.564276887,0.012290927,0.166470366,-0.883369667,1.29399751,0.578704509,-0.513061599,-1.178861981,0.453224152,-0.818771882
108,Forest,MK6,0.578957739,0.858995909,0.503110474,0.090019162,-1.935698824,-1.199411105,1.064705362,0.074655596,-0.221647904,-0.05427531,-0.518819811,0.831484597,-0.381489453,-0.525788729,0.192305683,0.024634859,0.028077794,0.156067509,-0.211473874,0.339317645,-0.145497199,-0.156664394,0.226419627,0.050355437,0.434279194,1.177059565,-0.855527928,0.588753249
109,Forest,MK7,0.396404594,0.652615411,0.419486494,-0.131130275,-1.915946242,-1.206284935,1.471076514,0.337118469,-0.943774636,-0.070894623,-0.922310613,0.50466945,-0.788525817,-0.73918772,-0.931733059,-0.375720714,-0.547155067,-0.266081165,-1.064433455,0.126776475,-0.202108347,0.096089604,-1.041306413,0.370892032,-0.563811999,-0.752836385,-0.116776989,-0.366566999
110,Forest,MK8,0.899733362,1.18068211,0.878446015,0.520031957,-1.971441593,-1.216091251,1.329029319,-0.649505687,-0.456708473,-0.617486521,-0.866443791,0.945692515,-0.475873691,-1.198926097,0.299706808,-0.362927864,-0.043290217,-0.17553328,0.498333101,0.027990465,0.030823673,-0.169655129,0.746988912,-0.034187157,-0.102829202,0.239803254,-0.53159673,0.193448319
111,Forest,MK9,0.93477537,1.089607315,0.876501271,0.23745212,-1.90654025,-1.222082059,0.845097725,-0.07213172,-0.845245533,0.541626013,-0.828320668,-0.556240066,-0.271268963,-1.550599948,-1.058074642,0.064791607,1.501893444,1.318293143,0.541538713,1.756364593,0.682111656,0.813537413,0.134953465,0.709064993,1.149013989,0.772335249,0.737152149,1.451236734
1,Parkland,P249,0.396404594,-0.111075984,0.384481107,1.017618191,-0.045094495,-0.66222977,-1.936879331,0.814777319,0.065789184,0.669941357,0.584684493,1.050460402,1.091507574,-0.779012953,0.286722768,1.011251314,0.457824604,0.235706013,0.986348006,-0.006646596,0.166470366,0.050661621,0.695945355,0.077532594,0.540009194,0.66582885,0.507845304,-0.070088301
2,Forest,P251,0.542701101,0.39025316,0.57895548,0.200593881,0.298224202,-0.230201678,-0.021232814,-0.912446082,0.736174198,-0.682951059,-0.424907761,1.374991593,-0.287226666,0.532604965,-0.639760851,2.080513245,0.140679196,0.277448353,0.455948405,-0.540166654,-0.193930789,0.194208684,-0.011440011,-0.908014304,0.789531992,0.312227605,0.868070173,0.855284604
3,Savanna,P257,-0.288496493,-0.278185699,-0.393416386,-0.622573469,0.546542383,-0.410431211,-0.335957002,0.713009257,-1.34975921,0.628972378,-0.545176665,0.082308936,-0.10260485,-0.611612285,-0.210385864,0.250615878,0.178897509,0.046777392,0.532621244,0.2434752,-0.10593926,0.050661621,0.203978338,-0.285435103,0.649968393,0.154598135,0.583055559,1.214652723
4,Savanna,P315,-1.320894893,-1.113734272,-1.560262624,-0.622573469,-0.167372387,-0.422300981,0.528416781,-0.016702965,0.355903971,0.19022744,-0.636578031,0.502125741,0.445530745,-0.264444399,0.856353398,1.221731119,0.531052123,0.438629727,0.883017916,-0.10300398,0.414870638,0.403889531,1.026522962,-0.466287331,0.083255597,0.056612247,-0.341389181,0.83132673
5,Savanna,P318,-0.979312549,-0.779514843,-0.976839505,-0.622573469,0.083767591,-0.400178376,1.374472107,-0.433366376,0.854928908,-0.564756225,-0.461470932,0.644880255,-0.147407001,-0.114577882,0.478063994,1.122024589,-0.890696781,-0.444505747,-1.161042349,-0.59733241,-0.91207819,-0.514211905,-0.830851275,-0.671320677,0.210131596,0.525240403,-0.680698702,0.16649571
6,Forest,P321,0.864573565,0.808027446,0.773429853,0.606034516,-0.093065052,-0.384766565,1.503588376,0.035157136,0.415394334,-0.12242842,-0.696223998,0.684512836,0.012209065,-0.100567428,1.361666442,1.849882072,2.464644068,3.136938819,0.46153281,-0.532633012,1.23914009,1.737889794,0.203978338,-0.628065162,1.263202388,1.142977517,0.428819218,0.259332474
8,Savanna,P323,-1.809562634,-1.698618273,-1.754736997,-1.028014104,0.099757777,-0.412281228,0.896549772,-0.013690366,0.340535651,0.057515456,-0.459957716,0.555120223,0.150887964,0.963233424,-0.124567929,1.18553827,0.246565447,0.079039133,0.599329111,0.313429264,-0.145497199,0.027500278,0.013787176,-0.093250948,0.886803591,0.325008373,1.131959863,0.900205619
9,Forest,P324,-0.854041235,-1.030179415,-0.782365132,-0.210989794,-0.227570734,-0.387000368,0.837673487,-1.267520174,0.404079373,0.479013937,-0.477851465,0.728112915,-0.293355569,2.462758223,-0.392498372,1.740953812,-0.852259558,-0.174428636,-1.331028032,-1.295069221,-1.126243115,-0.34788566,-1.27916605,-1.780136322,0.810677992,0.82345832,-0.169744594,0.624690061
10,Forest,P327,-1.364387802,-1.698618273,-1.365788251,-0.210989794,-0.283066085,-0.493699407,1.207989621,-0.170757002,-0.610860953,0.406812813,-0.266696533,0.517457919,0.301846358,0.2531117,0.716473694,1.323074706,0.484186844,0.335414855,0.387572094,0.843490745,-0.145497199,-0.056052059,-0.438708041,0.457420233,1.406995187,1.343209548,1.680161405,0.564795375
12,Forest,P330,-1.021405281,-1.280843986,-0.976839505,-0.622573469,0.070599203,-0.417152151,0.364022786,-0.042535284,-0.718963304,0.482723749,-0.456594694,0.158112261,0.335149767,-0.254157273,0.371220398,1.073708286,1.200722902,1.243635541,0.807667657,0.393378852,0.58710974,0.820980285,0.495562433,-0.093250948,0.861428391,0.584883987,0.5410302,1.034968663
13,Savanna,P333,-1.106102341,-1.280843986,-1.171313878,-0.622573469,-0.349848626,-0.571887191,-0.112751227,-0.561350004,0.343441167,0.044873107,-0.595497761,0.61592254,-0.230027909,1.711179993,-0.505340028,0.944277786,-0.532733869,-0.510409824,-0.018048011,-0.20233439,-0.675942894,-0.391711243,-0.406899551,-0.545046607,0.493487994,-0.062674919,0.71364529,0.834321464
